  10.30000 1.50179E+14 2.64117E+13   0.67080
  10.40000 1.32686E+14 2.34643E+13   0.66767
  10.50000 1.17265E+14 2.08518E+13   0.66455
  10.60000 1.03666E+14 1.85357E+13   0.66144
  10.70000 9.16705E+13 1.64817E+13   0.65833
  10.80000 8.10866E+13 1.46596E+13   0.65523
  10.90000 7.17456E+13 1.30428E+13   0.65214
  11.00000 6.34991E+13 1.16077E+13   0.64906
  11.10000 5.62169E+13 1.03336E+13   0.64599
  11.20000 4.97844E+13 9.20203E+12   0.64292
  11.30000 4.41009E+13 8.19677E+12   0.63986
  11.40000 3.90777E+13 7.30348E+12   0.63681
  11.50000 3.46369E+13 6.50946E+12   0.63376
  11.60000 3.07098E+13 5.80347E+12   0.63073
  11.70000 2.72359E+13 5.17557E+12   0.62770
  11.80000 2.41622E+13 4.61696E+12   0.62468
  11.90000 2.14417E+13 4.11985E+12   0.62166
  12.00000 1.90331E+13 3.67735E+12   0.61866
  12.10000 1.69001E+13 3.28334E+12   0.61566
  12.20000 1.50106E+13 2.93242E+12   0.61267
  12.30000 1.33364E+13 2.61976E+12   0.60968
  12.40000 1.18524E+13 2.34114E+12   0.60671
  12.50000 1.05366E+13 2.09276E+12   0.60374
  12.60000 9.36975E+12 1.87128E+12   0.60078
  12.70000 8.33458E+12 1.67373E+12   0.59783
  12.80000 7.41599E+12 1.49748E+12   0.59488
  12.90000 6.60061E+12 1.34019E+12   0.59194
  13.00000 5.87663E+12 1.19976E+12   0.58901
  13.10000 5.23363E+12 1.07437E+12   0.58609
  13.20000 4.66238E+12 9.62366E+11   0.58318
  13.30000 4.15472E+12 8.62292E+11   0.58027
  13.40000 3.70345E+12 7.72852E+11   0.57737
  13.50000 3.30218E+12 6.92892E+11   0.57448
  13.60000 2.94528E+12 6.21388E+11   0.57159
  13.70000 2.62773E+12 5.57427E+11   0.56872
  13.80000 2.34513E+12 5.00196E+11   0.56585
  13.90000 2.09354E+12 4.48974E+11   0.56298
  14.00000 1.86951E+12 4.03115E+11   0.56013
  14.10000 1.66995E+12 3.62047E+11   0.55728
  14.20000 1.49214E+12 3.25258E+11   0.55444
  14.30000 1.33367E+12 2.92294E+11   0.55161
  14.40000 1.19238E+12 2.62748E+11   0.54879
  14.50000 1.06638E+12 2.36257E+11   0.54597
  14.60000 9.53986E+11 2.12501E+11   0.54317
  14.70000 8.53692E+11 1.91189E+11   0.54036
  14.80000 7.64172E+11 1.72065E+11   0.53757
  14.90000 6.84245E+11 1.54899E+11   0.53479
  15.00000 6.12862E+11 1.39488E+11   0.53201
  15.10000 5.49091E+11 1.25646E+11   0.52924
  15.20000 4.92104E+11 1.13211E+11   0.52647
  15.30000 4.41164E+11 1.02037E+11   0.52372
